title,plot_processed,thumbnail,
breaking open the head,visionary journey cynicism new door perception century visionary journey cynicism shamanism brilliant young u,http://books.google.com/books/content?id=QIMaviqqoQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the yiddish policemen's union,sixty year jewish refugee descendant prosper federal district sitka temporary safe create wake revelation holocaust shocking collapse fledgling state israel proud grateful long american jew sitka district create little world alaskan panhandle vibrant gritty soulful complex frontier city move music yiddish sixty year leave alone neglected backwater history district set revert alaskan control dream come end tide history threaten sweep carry unknown homicide detective meyer landsman district police enough problem without worry upcoming reversion life shamble marriage wreck career disaster partner berko shemets ca catch break outstanding case landsman new supervisor love also worst nightmare cheap hotel wash someone commit landsman nose habit obligation mysterious sense somehow offer shot redeem landsman begin investigate killing neighbor former chess prodigy word come high case drop immediately landsman soon find contend powerful force faith obsession hopefulness evil salvation unfinished business marriage bina gelbfish one person understand darkest fear gripping whodunit love story homage noir exploration mystery exile redemption yiddish policeman union novel michael chabon could,http://books.google.com/books/content?id=-reD1g77BfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"beware, princess elizabeth",matter life death throne,http://books.google.com/books/content?id=wPBpR4AFNJ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
the family way,natural thing world tony parson latest bestseller three couple discover mother nature one hell,http://books.google.com/books/content?id=dJEIxdYmnU8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
endless night,acre truly beautiful upland site view sea michael rogers stir fantasy among dark fir tree plan build house find wonderful girl live happily ever yet leave village shadow menace hung land place accident happen perhaps michael heed local warning luck meddles gipsy acre,http://books.google.com/books/content?id=kY1wuNfgmFQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
how to be alone,harper essay reprint volume alongside personal essay painstaking often funny reportage although subject range widely piece wrestle erosion civic life private dignity hidden persistence loneliness postmodern,http://books.google.com/books/content?id=ozVWaXd9xvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the mysterious mr. quin,mystery mysterious stranger appear new year eve party become enigmatic sleuthing sidekick snobbish mr satterthwaite far typical new year eve house party mr satterthwaite keen observer human nature sense real drama evening yet unfold prove mysterious stranger arrive midnight mr quin presence pronounced effect eleanor portal woman hair,http://books.google.com/books/content?id=n0aMDV7Lm4sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the listerdale mystery,mystery selection mystery romantic deadly twelve tantalize case curious disappearance lord listerdale newlywed fear strange encounter train domestic murder investigation wild man sudden personality change retired inspector hunt murderess young woman impersonation duchess necklace hidden basket cherry mystery writer arrest murder astonishing marriage proposal soprano hatred baritone case rajah emerald one thing common skilful hand agatha,http://books.google.com/books/content?id=J1tLGz5G84EC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the real trial of oscar wilde,wilde one literary history explosive love affair lord alfred bosie douglas bosie father marquess queensberry deliver note albemarle club address oscar wilde posing sodomite bosie encouragement wilde sue marquess libel lost try twice gross indecency send prison two year hard labor publication uncensored trial transcript reader first time century hear wilde articulate brilliant real trial oscar wilde document alarmingly swift fall grace also supremely move testament right live work love one heart,http://books.google.com/books/content?id=QfNgQfTKcg0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
i can read with me eyes shut!,rhyme story,http://books.google.com/books/content?id=oyF8U9BRTQwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"oh, the places you'll go!",lurch slump seuss take hilarious look mishap misadventure life may store,http://books.google.com/books/content?id=Ev4Llq5fv4IC&printsec=frontcover&img=1&zoom=1&source=gbs_api
